Category,Screen,Event Name,Trigger,Properties,Event Type,Purpose
Global,All,screen_viewed,Screen becomes visible,"screen_number, screen_name, phase, step_label, source",User Action,Funnel analysis and drop-off tracking
Global,All,screen_exited,User leaves screen,"screen_number, screen_name, time_on_screen_sec, exit_method",User Action,Time-on-screen analysis and drop-off points
Global,All,back_button_pressed,User presses Android back,"screen_number, screen_name, destination_screen",User Action,Navigation pattern analysis
Global,All,language_toggled,User taps Hindi/English toggle,"from_language, to_language, screen_number",User Action,Language preference tracking
Global,All,app_opened,App launched,"is_fresh_install, last_screen_number, time_since_last_open_hrs",System,Retention and session analysis
Global,All,app_backgrounded,App goes to background,"screen_number, screen_name, time_in_session_sec",System,Session duration
Global,All,app_foregrounded,App returns to foreground,"screen_number, time_in_background_sec",System,Re-engagement
Global,All,app_uninstalled,CSP uninstalls the app,"last_screen_number, last_screen_name, phase, days_since_install, reg_fee_paid, verification_status",System,Uninstall tracking and churn analysis
Global,All,app_reinstalled,CSP reinstalls after previous uninstall,"days_since_uninstall, reinstall_source, last_phase_before_uninstall",System,Re-engagement effectiveness
Global,All,error_displayed,Any error overlay shown,"error_type, screen_number, is_blocking, is_retryable",System,Error frequency and distribution
Global,All,error_retry_tapped,User taps retry on error,"error_type, screen_number, retry_count",User Action,Retry behavior
Global,All,error_dismissed,Error dismissed or resolved,"error_type, screen_number, resolution",User Action,Error resolution rates
Global,All,talk_to_us_tapped,User taps Talk to Us CTA,"screen_number, error_type, phone_number",User Action,Support escalation tracking
Global,All,disabled_cta_tapped,User taps a disabled CTA button,"screen_number, screen_name, cta_name, disabled_reason",User Action,Friction point tracking
Global,All,session_data_restored,Form data preserved after back-forward navigation,"screen_number, fields_restored_count",System,Data persistence verification
Pitch,Pitch,pitch_screen_viewed,Pitch screen shown,is_first_time,System,First impression tracking
Pitch,Pitch,pitch_get_started_tapped,User taps Get Started,time_on_pitch_sec,User Action,Conversion from pitch to registration
Phase 1,Screen 0: Phone Entry,phone_field_focused,User taps phone input,,User Action,Interaction start
Phase 1,Screen 0: Phone Entry,phone_digits_entered,User types digits,digit_count,User Action,Partial entry tracking
Phase 1,Screen 0: Phone Entry,phone_entry_completed,All 10 digits entered,time_to_complete_sec,User Action,Form completion speed
Phase 1,Screen 0: Phone Entry,tnc_checkbox_toggled,T&C checkbox checked/unchecked,is_checked,User Action,T&C engagement
Phase 1,Screen 0: Phone Entry,tnc_link_tapped,User taps Read Terms & Conditions,,User Action,T&C read rate
Phase 1,Screen 0: Phone Entry,send_otp_tapped,User taps Send OTP,phone_masked,User Action,Registration start
Phase 1,Screen 0: Phone Entry,phone_duplicate_shown,Duplicate phone error displayed,phone_masked,System,Duplicate rate
Phase 1,Screen 0: Phone Entry,phone_duplicate_login_tapped,User chooses to login,,User Action,Redirect to login
Phase 1,Screen 0: Phone Entry,phone_duplicate_new_number_tapped,User chooses new number,,User Action,Re-entry behavior
Phase 1,Screen 0: Phone Entry,phone_input_blocked,Non-numeric or >10 digit input blocked,block_reason,System,Input validation tracking
Phase 1,Screen 1: OTP Verification,otp_sent,OTP dispatched to phone,"phone_masked, delivery_method",System,OTP delivery tracking
Phase 1,Screen 1: OTP Verification,otp_digit_entered,Each OTP digit entered,digits_filled,User Action,Input progress
Phase 1,Screen 1: OTP Verification,otp_submitted,User taps Verify,time_to_enter_sec,User Action,OTP entry speed
Phase 1,Screen 1: OTP Verification,otp_verified_success,OTP matches,"attempt_number, time_to_verify_sec",System,Success rate
Phase 1,Screen 1: OTP Verification,otp_verified_failed,OTP does not match,"attempt_number, attempts_remaining",System,Failure rate
Phase 1,Screen 1: OTP Verification,otp_expired,Timer reaches 0,time_elapsed_sec,System,Expiry rate
Phase 1,Screen 1: OTP Verification,otp_resend_tapped,User taps Resend OTP,resend_count,User Action,Resend frequency
Phase 1,Screen 1: OTP Verification,otp_change_number_tapped,User taps Change Number,,User Action,Number change rate
Phase 1,Screen 1: OTP Verification,otp_timer_started,Countdown timer begins,"duration_sec, trigger",System,Timer tracking
Phase 1,Screen 1: OTP Verification,otp_max_attempts_reached,3 wrong attempts exhausted and user locked out,phone_masked,System,Lockout tracking
Phase 1,Screen 2: Personal & Business Info,field_filled,User completes a form field,"field_name, field_index, is_valid",User Action,Field-level completion tracking
Phase 1,Screen 2: Personal & Business Info,field_error_shown,Validation error on field,"field_name, error_type",System,Input quality
Phase 1,Screen 2: Personal & Business Info,entity_type_selected,Dropdown selection made,entity_type,User Action,Entity type tracking
Phase 1,Screen 2: Personal & Business Info,personal_info_submitted,CTA Add Business Location tapped,"time_on_screen_sec, all_fields_valid",User Action,Screen completion
Phase 1,Screen 2: Personal & Business Info,field_focused,User taps into a form field,"field_name, screen_number",User Action,Interaction start per field
Phase 1,Screen 2: Personal & Business Info,business_name_locked,Business name field locked after reg fee payment,business_name,System,Lock event tracking
Phase 1,Screen 3: Business Location,state_selected,State chosen from dropdown,state_name,User Action,Geographic distribution
Phase 1,Screen 3: Business Location,city_entered,City field filled,city_name,User Action,City-level analysis
Phase 1,Screen 3: Business Location,pincode_entered,Pincode filled,"pincode, is_valid",User Action,Location validation
Phase 1,Screen 3: Business Location,gps_captured,GPS coordinates obtained,"latitude, longitude, accuracy_meters",System,Location accuracy
Phase 1,Screen 3: Business Location,gps_capture_failed,GPS capture failed,error_reason,System,GPS failure rate
Phase 1,Screen 3: Business Location,location_submitted,CTA Pay Registration Fee tapped,"state_name, city_name, pincode, time_on_screen_sec",User Action,Screen completion
Phase 1,Screen 3: Business Location,address_entered,Full address field filled,char_count,User Action,Address field tracking
Phase 1,Screen 3: Business Location,gps_capture_initiated,GPS capture started before success/fail,,System,GPS flow start
Phase 1,Screen 3: Business Location,pincode_validation_error,Invalid pincode entered,error_type,System,Pincode validation
Phase 1,Screen 4: Registration Fee,payment_initiated,User taps Pay Rs.2000 Now,"amount, fee_type",User Action,Payment funnel start
Phase 1,Screen 4: Registration Fee,payment_processing,Payment processing begins,"amount, fee_type, payment_method",System,Payment processing
Phase 1,Screen 4: Registration Fee,payment_completed,Payment succeeds,"amount, fee_type, payment_method, transaction_id, time_to_complete_sec",System,Payment success rate
Phase 1,Screen 4: Registration Fee,payment_failed,Payment declined,"amount, fee_type, error_code, error_type, retry_count",System,Payment failure analysis
Phase 1,Screen 4: Registration Fee,payment_retry_tapped,User retries payment,"amount, fee_type, retry_count",User Action,Retry behavior
Phase 1,Screen 4: Registration Fee,payment_refresh_tapped,User taps Refresh Status on timeout,"amount, fee_type",User Action,Timeout refresh tracking distinct from retry
Phase 2,Screen 5: KYC Documents,kyc_substage_entered,User enters a KYC sub-stage,"substage, substage_index",User Action,Sub-stage funnel
Phase 2,Screen 5: KYC Documents,kyc_substage_completed,Sub-stage fully completed,"substage, time_on_substage_sec",User Action,Sub-stage completion time
Phase 2,Screen 5: KYC Documents,kyc_all_completed,All 3 sub-stages done,total_time_sec,User Action,KYC completion rate
Phase 2,Screen 5: KYC Documents,kyc_substage_next_tapped,User taps Next to proceed between sub-stages,"from_substage, to_substage",User Action,Sub-stage progression
Phase 2,Screen 5: KYC Documents,kyc_substage_locked_tapped,User tries to access a locked sub-stage,"attempted_substage, current_substage",User Action,Friction tracking
Phase 2,Screen 5: KYC Documents,kyc_number_focused,User taps number field,doc_type,User Action,Interaction start
Phase 2,Screen 5: KYC Documents,kyc_number_entered,Number field filled,"doc_type, is_valid, char_count",User Action,Entry tracking
Phase 2,Screen 5: KYC Documents,kyc_number_validated,Validation runs on blur,"doc_type, is_valid, error_type",System,Validation results
Phase 2,Screen 5: KYC Documents,kyc_number_error_shown,Validation error displayed,"doc_type, error_type, error_message",System,Error frequency per doc type
